"","Text1"
"caused",2
"causes",2
"causing",2
"census",2
"center",2
"cents",2
"century",1
"ceo",3
"ceos",1
"certain",20
"certainly",19
"certainty",1
"certify",1
"cetera",2
"cfo",1
"cfos",1
"chain",1
"chairman",9
"chairmen",1
"chance",8
"chances",3
"change",14
"changed",18
"changes",6
"changing",2
"character",1
"charge",3
"charities",1
"charles",2
"charlie",15
"charlie¡¯s",4
"charlotte",2
"chart",1
"charts",2
"cheap",1
"chemical",1
"chenault",3
"chevron",3
"chew",1
"children",3
"chips",1
"choices",1
"christmas",1
"chunk",1
"circulation",1
"circumstances",3
"citizen",1
"city",5
"civil",2
"claim",1
"claims",2
"class",1
"classes",1
"classic",1
"clause",1
"cleaned",1
"clear",1
"clearly",1
"clicked",1
"cliff",1
"close",9
"closed",9
"closer",1
"coast",2
"cochairmen",1
"cofounded",1
"coins",1
"collaborated",1
"collateral",2
"collect",1
"collection",1
"collectively",2
"college",3
"colonial",1
"combination",1
"combine",1
"combined",1
"combs",2
"come",41
"comes",10
"comfortable",2
"coming",8
"comment",1
"comments",1
"commerce",1
"commercial",8
"commissioners",1
"commitment",1
"committee",5
"commodities",2
"common",3
"communicate",1
"comp",1
"companies",27
"company",30
"company¡¯s",3
"comparable",1
"compared",1
"comparing",1
"compelling",3
"compensation",6
"competent",1
"competition",2
"compiling",1
"complex",1
"compromises",1
"comptroller",1
"computer",1
"conceived",1
"conclusion",1
"condition",1
"conditions",5
"conducting",1
"congratulations",1
"congress",1
"cons",2
"conscious",1
"consequences",8
"conservative",1
"conservatorship",1
"consider",2
"considerable",1
"considerably",4
"consistent",1
"consists",1
"consolidated",1
"constitution",1
"consult",1
"consumer",1
"consumers",1
"contact",2
"contagious",1
"contain",1
"contest",1
"context",1
"continental",1
"continually",1
"continue",7
"continued",2
"continuing",1
"contour",1
"contract",2
"contracts",1
"contrary",1
"contribute",1
"contributing",1
"contribution",1
"control",3
"controller",2
"controller¡¯s",4
"convenience",1
"conversation",1
"convert",3
"convince",1
"convinced",4
"copied",1
"copper",1
"corn",1
"corporate",7
"corporation",4
"corporations",2
"correct",3
"corrects",1
"cost",5
"costs",2
"couldn¡¯t",4
"count",5
"countries",7
"country",52
"country¡¯s",4
"couple",25
"course",21
"court",3
"cover",2
"coverage",5
"coverages",1
"covered",1
"covers",1
"crash",4
"crazy",7
"create",4
"created",3
"creating",2
"creative",3
"creator",2
"credit",16
"creep",1
"creighton",1
"creightonvillanova",1
"cries",1
"crisis",3
"criticizing",2
"cross",4
"crosses",1
"crosssection",1
"crowd",2
"cruise",2
"cuban",1
"currency",7
"current",4
"currently",1
"customers",2
"cut",2
"cutoff",1
"cyber",1
"cyclical",1
"dad",5
"dakota",1
"damage",2
"damn",1
"dan",1
"dangers",1
"data",2
"date",3
"daughter",2
"david",2
"day",30
"days",11
"dead",1
"deal",7
"dealers",1
"dealership",1
"dealing",6
"deals",1
"dealt",1
"dean",1
"deaths",3
"debate",1
"debbie",4
"debt",15
"debts",4
"decades",3
"decent",8
"decide",2
"decided",7
"decision",8
"decisions",1
"decker",2
"decline",4
"declines",1
"decreased",1
"dedicated",1
"deepest",1
"default",2
"defaulting",1
"defcon",2
"defending",1
"deficiencies",1
"deficits",1
"definable",1
"definitely",1
"deflationary",2
"degree",7
"delay",4
"delighted",1
"deliver",3
"delivered",3
"delivering",1
"delta",1
"demand",5
"denominations",1
"denominator",1
"denying",1
"department",3
"depend",2
"depended",1
"dependent",2
"depending",2
"depends",4
"deploy",2
"deployment",1
"deposits",1
"depreciation",2
"depression",9
"depressive",1
"depths",1
"describe",1
"describes",1
"designated",1
"designed",2
"desire",1
"destined",1
"destroy",1
"destroyed",1
"destruction",1
"detail",1
"details",1
"determination",1
"determine",2
"determined",1
"develop",2
"developed",1
"developing",3
"developments",1
"device",1
"devoted",1
"diamond",2
"didn¡¯t",40
"died",2
"difference",1
"different",26
"differentiated",1
"difficult",3
"dime",1
"diminution",1
"dips",1
"direction",8
"directly",3
"director",1
"directors",9
"directs",1
"disadvantage",1
"disadvantaged",1
"disadvantages",1
"disagree",3
"disappear",1
"disappeared",1
"disappointed",1
"disaster",1
"discount",2
"discourage",1
"discovered",1
"discussion",3
"disease",1
"dishes",1
"disorganized",1
"disproportionate",1
"distributed",2
"distributing",1
"disturbed",1
"diverse",1
"diversified",1
"diversity",1
"divided",1
"dividend",2
"dividends",5
"division",1
"doctrine",1
"document",1
"doesn¡¯t",37
"dog",1
"dollar",1
"dollars",13
"don¡¯t",146
"don¡¯t¡­",1
"done",22
"door",2
"double",2
"doubt",1
"dow",13
"downgraded",1
"downs",1
"dozen",2
"dozens",3
"dramatic",2
"dramatically",12
"draw",1
"dream",4
"dreams",2
"dreamt",2
"drew",1
"drill",2
"drinking",1
"drinks",1
"drive",2
"driving",2
"dry",1
"dubois",1
"due",5
"dug",1
"dumb",1
"duties",1
"dying",1
"earlier",8
"early",2
"earn",5
"earning",1
"earnings",14
"earthquake",1
"earthquakes",1
"easier",3
"easily",1
"easter",4
"easy",4
"economic",6
"economics",1
"economist",2
"economists",1
"economy",10
"economy¡±",1
"edition",1
"educating",1
"effect",13
"effectively",2
"effects",1
"efforts",1
"eight",5
"either",12
"elect",2
"elected",4
"election",2
"elections",1
"electric",2
"else",14
"else¡¯s",1
"elsewhere",1
"email",2
"emailed",1
"embedded",1
"embodied",1
"emphasize",1
"employed",3
"employees",1
"employees¡¯",1
"employing",2
"employment",2
"empty",1
"enable",1
"encourage",1
"end",11
"endangered",1
"ended",2
"endowed",2
"ends",2
"endure",3
"endured",1
"enduring",1
"energy",13
"engage",1
"enjoy",2
"enormous",9
"enormously",1
"enough",9
"enslaved",1
"ensure",1
"ensures",1
"entered",2
"enterprise",2
"entertainment",2
"enticing",1
"entire",4
"entirely",2
"entirety",1
"entities",3
"entitled",1
"envy",1
"equal",5
"equally",1
"equate",1
"equities",9
"equities¡±",1
"equity",4
"equivalent",3
"ernie",2
"error",1
"essence",1
"essentially",16
"establish",1
"established",1
"estate",2
"estimate",3
"estimate¡­",1
"estimated",1
"estimates",1
"etc",2
"europe",1
"european",1
"evaluate",7
"evaluated",1
"evaluating",4
"even",33
"event",4
"events",1
"eventually",3
"ever",11
"every",19
"everybody",12
"everybody¡¯s",1
"everything",9
"everything¡±",1
"evidence",1
"evolve",1
"exact",1
"exactly",13
"example",8
"exceed",1
"exceeded",2
"excellent",1
"except",2
"exception",3
"exceptions",1
"exchange",1
"exciting",1
"excluding",1
"executive",6
"exhausted",1
"exist",3
"existed",1
"existence",1
"existential",1
"expand",1
"expect",6
"expense",2
"expenses",2
"experience",6
"experienced",2
"experiences",2
"experiment",1
"expiration",2
"explained",2
"explains",2
"explanation",2
"exporter",1
"exposed",1
"express",1
"extend",3
"extended",5
"extent",15
"extra",1
"extraordinarily",5
"extraordinary",7
"extreme",5
"exxon",1
"face",1
"faced",4
"faces",2
"facing",3
"fact",16
"factor",6
"factors",1
"facts",2
"fail",1
"failing",1
"failing¡­",1
"fails",1
"failures",1
"fair",3
"fairly",4
"faith",1
"fall",2
"familiar",1
"families",2
"family",7
"famous",4
"fannie",1
"far",23
"farfetched",1
"farm",15
"farmer",4
"farmer¡¯s",3
"farmers",1
"farmland",1
"farms",1
"fashionable",1
"fast",1
"faster",1
"father",4
"fauci",3
"fauci¡­",1
"fault",3
"favor",1
"favored",1
"fdic",8
"fear",4
"fed",13
"fed¡¯s",2
"federal",12
"fee",2
"feel",10
"feeling",3
"feels",1
"fees",6
"feet",1
"fellow",4
"fellows",1
"felt",10
"ferocity",1
"fewer",1
"field",2
"fifth",1
"fighting",1
"figure",5
"figures",7
"fill",1
"final",2
"finance",2
"financed",1
"financial",2
"financially",2
"financing",6
"find",24
"fine",8
"finished",1
"fire",4
"first",20
"fiscal",1
"five",10
"fix",1
"fixed",1
"flat",1
"flip",1
"flipping",1
"florida",1
"flowing",1
"flu",3
"fly",4
"flying",4
"follow",1
"followed",3
"following",3
"follows",1
"fool",1
"foolish",2
"football",1
"footsie",1
"force",3
"forced",1
"forcing",1
"ford",1
"forecast",1
"forecasting",1
"foreign",1
"foresee",1
"forget",1
"forgetting",1
"forgot",1
"formal",5
"formations",1
"former",1
"fort",1
"forth",3
"fortunate",1
"fortunately",2
"forward",3
"forwarded",1
"found",6
"foundations",2
"founded",1
"four",20
"fourplus",1
"fraction",1
"france",1
"franchise",1
"frankly",4
"frankly¡­",1
"fraud",1
"freddie",1
"free",4
"freeze",2
"freezing",1
"french",2
"frequency",3
"friday",1
"friend",4
"friends",3
"fronts",1
"frozen",3
"fudge",1
"fulbright",3
"fulfilling",1
"full",2
"fully",1
"fulsome",1
"fun",1
"function",2
"fund",7
"fundamental",1
"fundamentally",2
"funds",9
"funny",1
"furloughed",1
"furniture",4
"future",14
"futures",1
"gaining",1
"galbraith",2
"gambling",1
"game",5
"games",1
"gaps",1
"gas",1
"gates",2
"gather",1
"gathering¡­",1
"gatherings",1
"gave",3
"gdp",2
"geico",2
"general",9
"generally",7
"generate",1
"generated",1
"generous",1
"geological",1
"george",3
"gerald",1
"get",54
"gets",2
"getting",18
"gettysburg",2
"giant",1
"gift",1
"girls¡¯",1
"give",20
"given",8
"giving",5
"glad",6
"global",1
"goes",10
"going",125
"gold",3
"gone",8
"gonna",1
"good",46
"google",1
"got",65
"got¡­¡±",1
"gotten",7
"gottesman",2
"government",13
"government¡¯s",2
"governmental",1
"governments",1
"governor",1
"grabbing",1
"grade",3
"graham",5
"grandchildren",1
"grandfather",4
"grandfather¡¯s",1
"gratitude",1
"great",34
"greater",4
"greatest",2
"greatly",1
"greg",36
"greg¡¯s",1
"gregory",1
"grew",1
"grill",1
"groceries",1
"grocery",1
"ground",1
"group",8
"grow",6
"growing",1
"grows",4
"growth",6
"gses",1
"guarantee",2
"guaranteed",1
"guess",6
"guessing",1
"guiding",1
"gun",1
"guy",5
"guyman",2
"guys",2
"habits",6
"hadn¡¯t",7
"haircut",1
"half",16
"halfway",2
"hall",1
"hamburg",3
"hand",2
"handed",1
"handle",4
"handling",2
"hands",1
"happen",30
"happened",21
"happening",3
"happens",19
"happiness",2
"happy",6
"hard",13
"hasn¡¯t",1
"hate",2
"hathaway",5
"hathaway¡¯s",2
"haven¡¯t",9
"headed",1
"heading",1
"health",10
"hear",3
"heard",2
"heart",1
"heavier",1
"heavily",2
"heirs",2
"held",1
"hell",3
"help",1
"herald",1
"high",8
"high¡±",1
"higher",7
"highest",1
"history",7
"hit",4
"hitting",1
"hold",10
"holders",5
"holding",2
"holdings",1
"holds",2
"home",5
"homes",1
"hope",18
"hopefully",1
"hopes",1
"hoping",1
"hopkins",3
"horizon",1
"hospitals",1
"hotel",2
"hour",1
"hours",5
"house",3
"household",2
"households",1
"houses",4
"howard",2
"howard¡±",1
"huge",31
"human",1
"humor",1
"hundred",10
"hundreds",1
"hurricane",1
"hurricanes",1
"hurt",6
"hurts",1
"hustled",1
"hypothesis",1
"idea",12
"ideally",1
"ideas",2
"identical",3
"identify",1
"idiot",1
"illustrious",1
"imaginative",1
"imagine",9
"immediately",4
"immoral",1
"impartial",1
"imperfect",1
"implications",1
"importance",2
"important",16
"impossible",2
"impressive",1
"improbable",1
"improved",3
"improvement",2
"inadequate",1
"inaudible",13
"inaugurate",1
"inbetween",1
"incidentally",8
"incidents",1
"include",1
"including",4
"income",4
"incorporate",1
"increase",4
"increased",7
"increases",1
"increasing",1
"incredible",6
"incredibly",2
"incremental",1
"incur",2
"indefinitely",1
"independent",1
"independently",2
"index",7
"india",1
"indicated",1
"indicates",1
"indices",2
"individual",1
"individuals",1
"industries",5
"industry",7
"inflation",9
"inflationary",2
"information",2
"informing",1
"inherent",1
"inherited",1
"initially",1
"initiative",3
"inspector",1
"instead",1
"instituted",1
"institution",1
"institutions",2
"instruct",1
"instructed",1
"insurance",23
"insure",3
"insurers",1
"intact",1
"intelligence",2
"intelligent",5
"intensive",7
"intent",1
"intentional",1
"interaction",1
"interest",15
"interesting",13
"interestingly",1
"interests",1
"interject",1
"intermediate",2
"intermittently",1
"international",2
"internet",3
"interrupt",1
"interrupted",2
"interruption",11
"interruptions",2
"intersect",1
"intervening",1
"intrinsically",1
"introduce",1
"invented",2
"invest",4
"invested",4
"investigation",1
"investing",4
"investment",10
"investmentgrade",1
"investments",2
"investor",1
"investors",2
"invite",1
"involuntarily",1
"involuntary",1
"involve",2
"involved",4
"involves",5
"involving",1
"isn¡¯t",11
"issuance",1
"issue",3
"issued",2
"item",7
"jain",3
"jaksich",9
"jamie",2
"january",4
"jay",3
"jim",2
"jimmy",1
"job",14
"jobs",1
"john",3
"johns",3
"join",2
"jones",5
"journal",1
"journey",1
"joy",1
"judge",1
"judgment",1
"july",2
"jump",1
"jumped",1
"june",1
"just",83
"kansas",1
"keep",16
"keeping",1
"keeps",2
"ken",5
"kenneth",2
"key",2
"keynesianism",1
"kicked",1
"kid",1
"kids",2
"killed",1
"kind",18
"kindness",4
"kinds",8
"kings",1
"knew",8
"know",105
"knowing",1
"knowledge",3
"known",3
"knows",16
"knox",1
"land",2
"landed",1
"language",2
"large",9
"largely",2
"larger",2
"largest",7
"last",20
"lasted",2
"lasts",2
"late",3
"later",15
"latter",1
"lawyer",1
"lawyers",3
"layer",1
"layoffs",1
"leader",1
"leaders",1
"leading",1
"leaguer",1
"learned",8
"learning",2
"least",12
"leave",5
"leaving",1
"led",1
"lee",1
"left",5
"legislation",1
"lend",4
"lender",1
"less",18
"let",5
"let¡¯s",10
"lethal",3
"letter",1
"letters",1
"level",9
"levels",1
"leveraged",1
"liabilities",1
"liability",3
"liberty",2
"library",2
"life",19
"lifetime",3
"lifetimes",1
"like",77
"liked",5
"likelihood",1
"likely",3
"limit",1
"limited",1
"limits",4
"line",5
"lines",5
"liquid",1
"liquidity",1
"list",2
"listen",6
"listening¡­",1
"literally",3
"litigation",5
"little",27
"live",2
"living",1
"load",1
"loan",1
"loans",6
"local",2
"logical",2
"long",33
"longer",4
"longest",2
"look",29
"looked",5
"looking",5
"looks",3
"looks¡±",1
"loomis",1
"lose",2
"losing",1
"loss",2
"losses",5
"lost",3
"lot",88
"lots",4
"louisiana",4
"lousy",1
"love",6
"low",3
"lower",8
"luck",1
"lucky",1
"lumas",1
"made",26
"madhouse",1
"madness",1
"magic",1
"main",2
"maintain",2
"major",4
"make",26
"makes",7
"making",2
"males",7
"malevolent",2
"malls",1
"man",1
"manageable",1
"managed",5
"management",7
"managements",1
"managers",4
"manages",1
"managing",1
"manic",1
"manner",1
"manufacture",1
"manufacturers",1
"manufacturing",1
"many",44
"marc",3
"march",11
"margin",6
"marginal",2
"mark",2
"market",47
"market¡¯s",1
"marketable",2
"markets",9
"marmon",1
"mart",2
"mart¡¯s",1
"martin",2
"marvelous",3
"mass",1
"match",1
"material",1
"matter",6
"matters",2
"mattress",1
"maximize",1
"may",56
"maybe",29
"mayor",1
"mcdonald¡¯s",1
"mean",74
"meaning",2
"meaningless",1
"means",6
"measure",1
"measures",1
"medical",1
"meeting",35
"meetings",1
"members",3
"memories",1
"memory",1
"men",4
"mentally",1
"mentioned",5
"merge",1
"merged",1
"meryl",2
"met",1
"methods",1
"miami",1
"middle",3
"midmarch",1
"midmonth",1
"midst",1
"might",9
"might¡¯ve",4
"miles",4
"million",27
"millions",4
"mind",11
"mind¡­",1
"minds",6
"mindset",1
"mine",8
"mineral",2
"minor",1
"minus",2
"minute",6
"minutes",6
"miracle",3
"miraculous",1
"miss",3
"missile",1
"mistake",6
"mistakes",5
"moment",3
"momentum",1
"monday",4
"money",103
"money¡±",2
"money¡­",1
"monologue",1
"month",14
"months",30
"morgan",2
"morning",4
"mostly",1
"mother",1
"motion",17
"motions",1
"motorist",1
"motors",2
"mouth",1
"move",16
"move¡­",1
"moved",6
"moves",1
"movies",1
"much",41
"mules",1
"multiple",4
"munger",3
"murphy",2
"must",2
"mutual",1
"name",7
"named",6
"names",3
"narrow",1
"narrowed",2
"nation",2
"national",3
"natural",1
"nature",4
"nebraska",1
"necessarily",1
"need",22
"needed",1
"needs",5
"negative",4
"neighbor",3
"neighboring",1
"neighbors",1
"neither",3
"nervous",1
"net",9
"never",29
"nevertheless",2
"new",17
"news",1
"newspaper",3
"newspapers",3
"next",54
"next¡­",2
"night",2
"nikkei",1
"nine",4
"nineties",1
"nobody",12
"nobody¡¯s",1
"nobody¡­",1
"nominal",2
"nominations",1
"none",2
"normal",2
"normally",3
"normandy",1
"note",1
"nothing",9
"nothing¡¯s",1
"notice",1
"noticeable",1
"november",2
"now",95
"nti",2
"nuclear",5
"number",12
"numbers",6
"nunn",3
"nut",2
"o¡¯connor",1
"oath",1
"obligation",1
"obliged",1
"obliging",1
"observing",1
"obvious",1
"obviously",19
"occasional",1
"occasionally",3
"occi",2
"occidental",1
"occupied",1
"occur",2
"occurred",3
"october",5
"odd",1
"odds",1
"offer",2
"offered",2
"offered¡­",1
"offering",1
"offers",3
"office",7
"officers",6
"officially",1
"often",4
"oil",25
"okay",6
"oklahoma",1
"old",3
"olson",2
"omaha",10
"omahacom",1
"one",100
"ones",6
"opening",2
"operate",2
"operated",1
"operating",6
"operation",2
"operations",3
"opinion",2
"opportunities",2
"opportunity",3
"opposed",1
"optimistic",2
"option",2
"order",5
"orders",1
"ordinary",1
"organization",1
"organizations",1
"organized",1
"oriental",1
"original",2
"originally",2
"others",10
"otherwise",1
"ounce",1
"ounces",4
"outcome",1
"outdo",1
"outlook",1
"outperform",3
"outsmart",2
"outspoken",1
"outstanding",2
"overall",1
"overboard",1
"overdue",2
"oversupply",1
"owe",7
"owed",1
"owned",6
"owner",1
"owners",1
"owning",2
"packed",1
"page",7
"paid",18
"painful",1
"paired",1
"pandemic",6
"pandemics",4
"panic",2
"paper",3
"papers",3
"parallel",1
"parents",2
"parity",1
"park",1
"part",23
"partial",1
"partially",1
"participate",4
"participated",1
"participates",1
"particular",7
"particularly",11
"partly",1
"partner",1
"partnership",2
"partnerships",2
"parts",5
"party",3
"passed",2
"passenger",2
"past",6
"patriot",1
"paul",4
"pay",26
"pay¡­",1
"payable",1
"paycheck",2
"payer",1
"paying",11
"payments",3
"payout",1
"pays",2
"peace",1
"peak",1
"peanut",2
"peanuts",1
"peculiar",1
"pedestal",2
"pension",2
"people",133
"people¡¯s",7
"peoples",1
"per",6
"percent",5
"percentage",5
"perfectly",6
"perhaps",7
"peril",4
"period",29
"periods",7
"persevered",1
"person",12
"personal",3
"personally",2
"philanthropic",1
"philanthropies",2
"phone",1
"physical",2
"pick",15
"picture",1
"piggy",1
"piker",1
"pipeline",2
"place",20
"placed",1
"plan",3
"planes",3
"planet",1
"plant",1
"plate",1
"play",3
"playbook",1
"played",1
"playing",2
"pleased",1
"pledge",1
"plenty",4
"plot",1
"plug",1
"plus",3
"point",15
"pointed",2
"pointing",1
"police",1
"policies",6
"policy",7
"political",2
"politically",2
"politician",1
"politics",2
"ponder",1
"poor",3
"poor¡¯s",1
"popular",1
"population",8
"portion",4
"pose",1
"position",30
"positioned",2
"positions",4
"possesses",1
"possibilities",9
"possibility",4
"possible",1
"posted",1
"posture",1
"pot",2
"potential",6
"pour",1
"powell",3
"powell¡¯s",2
"power",2
"precision",3
"preclude",1
"predicated",1
"prediction",1
"prefer",2
"preference",1
"premium",1
"premiums",3
"prepare",4
"prepared",8
"preparedness",2
"prescott",1
"present",9
"presentation",1
"presenting",2
"presently",1
"presidency",1
"president",2
"presiding",1
"press",1
"prestige",1
"presumably",1
"pretax",1
"pretty",11
"prevail",1
"prevailed",3
"previous",2
"price",27
"price¡±",1
"prices",19
"pricing",1
"primary",1
"prime",1
"principle",1
"print",3
"printing",1
"prior",2
"prioritize",1
"private",2
"probabilities",3
"probability",4
"probabilityweighted",1
"probably",24
"probably¡­",1
"problem",23
"problems",18
"proceed",1
"proceedings",1
"process",1
"produce",8
"produced",4
"producer",1
"producers",1
"produces",2
"producing",1
"production",3
"productive",2
"products",1
"profit",1
"profits",1
"program",4
"programs",1
"progress",4
"projects",1
"promise",4
"promised",1
"promises",1
"prompt",1
"promptly",4
"proper",1
"properties",1
"property",4
"proportion",1
"proportionally",1
"proposal",4
"propose",1
"proposition",1
"pros",2
"prospects",2
"prospered",1
"prosperity",2
"protect",3
"protected",1
"protection",1
"proving",1
"proxy",4
"psyche",3
"psychological",2
"psychologically",4
"public",6
"pull",1
"pulled",1
"punch",1
"punched",1
"purchase",7
"purchased",1
"purchases",1
"purchasing",1
"pursuant",1
"pursuit",2
"pushed",1
"put",31
"puts",5
"puttering",1
"putting",2
"qualifications",1
"qualitative",1
"quality",2
"quarter",14
"question",16
"questioning",1
"questionnaire",1
"questions",11
"quick",2
"quickly",2
"quit",1
"quite",9
"quorum",1
"quote",6
"quoted",1
"quotes",2
"racked",1
"railroad",5
"railroads",1
"raised",5
"raising",3
"ran",2
"randomness",1
"range",7
"rank",1
"ranked",1
"rare",1
"rare¡­",1
"rate",2
"rated",1
"rates",7
"rather",6
"rationality",1
"raw",1
"reach",1
"reached",2
"react",3
"reacted",1
"reacts",1
"read",11
"reading",3
"readjust",1
"ready",8
"real",12
"realized",1
"really",76
"reason",5
"reasonable",5
"reasonably",6
"reasons",3
"recall",1
"recap",1
"receive",2
"received",2
"recent",4
"recession",2
"recessions",1
"recognize",8
"recognizing",1
"recommend",3
"recommended",1
"recommending",1
"reconcile",1
"record",2
"records",2
"recover",1
"recovered",1
"recovery",1
"redeploy",1
"reduce",1
"reduced",5
"reducing",1
"references",1
"referencing",1
"referred",1
"refinancing",1
"reflect",2
"refunded",1
"regard",2
"regardless",1
"regularly",2
"regulation",1
"reinvest",1
"reinvested",1
"related",1
"relating",2
"relations",1
"relative",4
"relatively",2
"relatives",1
"relevance",2
"reliable",1
"reluctance",1
"remain",3
"remaining",1
"remarkable",3
"remember",8
"remembered",1
"renewals",1
"renewing",1
"rent",1
"rental",1
"rented",1
"reopen",1
"repeat",1
"repeating",1
"repertoire",1
"report",11
"report¡­",1
"represented",1
"represents",2
"repurchase",2
"repurchasing",1
"requests",1
"require",5
"required",2
"requirements",4
"requires",5
"resembles",1
"reserve",9
"reserved",4
"reserves",2
"reserving",1
"resist",1
"resolution",1
"resolutions",1
"resolved",1
"respect",2
"respectable",1
"respected",1
"respects",1
"respond",1
"responsibility",1
"rest",2
"restore",1
"result",2
"results",4
"retail",4
"retailing",1
"retain",1
"retained",1
"retaining",1
"retirement",2
"return",4
"returns",9
"revenue",1
"revenues",1
"rich",9
"ridiculously",1
"right",33
"rights",3
"rights¡±",1
"risk",4
"riskfree",1
"risks",3
"road",2
"roads",1
"roaring",1
